
[start] Model ver = yolo11m.pt[2026-03-26 22:49:56]
[logging] NEW STATE -- arrived[2026-03-26 23:09:01]
[logging] NEW STATE -- taked[2026-03-26 23:09:02]
[logging] NEW STATE -- empty[2026-03-26 23:09:05]
[logging] NEW STATE -- arrived[2026-03-26 23:09:08]
[logging] NEW STATE -- taked[2026-03-26 23:09:09]
====================
  table_state  start_time  end_time  state_duration
0       empty        0.00      0.50            0.50
1     arrived        0.50      1.05            0.55
2       taked        1.05     11.50           10.45
3       empty       11.50     12.25            0.75
4     arrived       12.25     12.80            0.55
Среднее время "ожидания" гостей: nan сек (nan мин)
Среднее время "занятости" стола: 54.30 сек (0.90 мин)
